id,section,section_title,source_line,problem,status,disposition,evidence
B5,B,PHYSICS MODEL PROBLEMS,112,Wave velocity can depend on material orientation.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B6,B,PHYSICS MODEL PROBLEMS,114,Wave velocity can depend on laminate layup.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B7,B,PHYSICS MODEL PROBLEMS,116,Wave velocity can depend on frequency.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B8,B,PHYSICS MODEL PROBLEMS,118,Dispersion may be insufficiently modeled.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B9,B,PHYSICS MODEL PROBLEMS,120,Multiple guided-wave modes may exist.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B10,B,PHYSICS MODEL PROBLEMS,122,Mode conversion may occur.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B11,B,PHYSICS MODEL PROBLEMS,124,Different modes may overlap in time/frequency.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B12,B,PHYSICS MODEL PROBLEMS,126,Group velocity and phase velocity differ.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B13,B,PHYSICS MODEL PROBLEMS,128,Boundary reflections may be more complex than modeled.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B14,B,PHYSICS MODEL PROBLEMS,130,Edge effects may be significant.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B15,B,PHYSICS MODEL PROBLEMS,132,Structural geometry may be more complex than a rectangular plate.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B16,B,PHYSICS MODEL PROBLEMS,134,Curvature may affect propagation.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B17,B,PHYSICS MODEL PROBLEMS,136,Stiffeners may affect propagation.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B18,B,PHYSICS MODEL PROBLEMS,138,Joints may affect propagation.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B19,B,PHYSICS MODEL PROBLEMS,140,Fasteners may affect propagation.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B20,B,PHYSICS MODEL PROBLEMS,142,Thickness variations may affect propagation.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B21,B,PHYSICS MODEL PROBLEMS,144,Ply interfaces can affect wave propagation.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B22,B,PHYSICS MODEL PROBLEMS,146,Delaminations can interact with multiple modes.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B23,B,PHYSICS MODEL PROBLEMS,148,Crack scattering may be direction-dependent.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B24,B,PHYSICS MODEL PROBLEMS,150,Damage scattering may not be isotropic.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B25,B,PHYSICS MODEL PROBLEMS,152,Scattering may depend on frequency.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B26,B,PHYSICS MODEL PROBLEMS,154,Reflection may depend on damage orientation.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B27,B,PHYSICS MODEL PROBLEMS,156,Transmission may depend on damage orientation.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B28,B,PHYSICS MODEL PROBLEMS,158,Structural damping may vary.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B29,B,PHYSICS MODEL PROBLEMS,160,Attenuation may be path-dependent.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B30,B,PHYSICS MODEL PROBLEMS,162,Material attenuation can be frequency-dependent.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B31,B,PHYSICS MODEL PROBLEMS,164,Temperature changes wave speed.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B32,B,PHYSICS MODEL PROBLEMS,166,Temperature changes attenuation.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B33,B,PHYSICS MODEL PROBLEMS,168,Temperature can change sensor behavior.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B34,B,PHYSICS MODEL PROBLEMS,170,Humidity may affect measurements.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B35,B,PHYSICS MODEL PROBLEMS,172,Environmental conditions can alter baseline signals.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B36,B,PHYSICS MODEL PROBLEMS,174,Mechanical loading changes the measured response.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B37,B,PHYSICS MODEL PROBLEMS,176,Stress state may affect wave propagation.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B38,B,PHYSICS MODEL PROBLEMS,178,Nonlinear damage effects may be absent.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B39,B,PHYSICS MODEL PROBLEMS,180,Contact nonlinearities may be absent.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B40,B,PHYSICS MODEL PROBLEMS,182,Boundary condition uncertainty may be ignored.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B41,B,PHYSICS MODEL PROBLEMS,184,Sensor mounting can alter local mechanics.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B42,B,PHYSICS MODEL PROBLEMS,186,Couplant properties can alter measurements.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B43,B,PHYSICS MODEL PROBLEMS,188,Sensor orientation can affect measurements.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B44,B,PHYSICS MODEL PROBLEMS,190,Exciter coupling can vary.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B45,B,PHYSICS MODEL PROBLEMS,192,Receiver coupling can vary.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B46,B,PHYSICS MODEL PROBLEMS,194,Hardware transfer functions may be ignored.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B47,B,PHYSICS MODEL PROBLEMS,196,Structural heterogeneity may be underestimated.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B48,B,PHYSICS MODEL PROBLEMS,198,Composite manufacturing variability may be ignored.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B49,B,PHYSICS MODEL PROBLEMS,200,Ply waviness may be ignored.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B50,B,PHYSICS MODEL PROBLEMS,202,Fiber volume variability may be ignored.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B51,B,PHYSICS MODEL PROBLEMS,204,Manufacturing defects may interact with artificial defects.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B52,B,PHYSICS MODEL PROBLEMS,206,Real defects are not guaranteed to match synthetic defect assumptions.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B53,B,PHYSICS MODEL PROBLEMS,208,Damage interaction effects may be absent.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B54,B,PHYSICS MODEL PROBLEMS,210,Multiple scattering may be absent.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B55,B,PHYSICS MODEL PROBLEMS,212,Reverberation/ringing may be oversimplified.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B56,B,PHYSICS MODEL PROBLEMS,214,Noise may not match field noise.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B57,B,PHYSICS MODEL PROBLEMS,216,Noise may be nonstationary.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B58,B,PHYSICS MODEL PROBLEMS,218,Noise may be correlated across sensors.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B59,B,PHYSICS MODEL PROBLEMS,220,Sensor noise may be heterogeneous.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B60,B,PHYSICS MODEL PROBLEMS,222,Electromagnetic interference may exist.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B61,B,PHYSICS MODEL PROBLEMS,224,Mechanical vibration may contaminate the signal.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B62,B,PHYSICS MODEL PROBLEMS,226,Ambient acoustic noise may contaminate the signal.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B63,B,PHYSICS MODEL PROBLEMS,228,External excitation may contaminate the signal.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B64,B,PHYSICS MODEL PROBLEMS,230,Real structures may have operational vibration.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B65,B,PHYSICS MODEL PROBLEMS,232,Temperature-dependent physics may not be modeled.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B66,B,PHYSICS MODEL PROBLEMS,234,Aging-dependent physics may not be modeled.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B67,B,PHYSICS MODEL PROBLEMS,236,Fatigue-dependent physics may not be modeled.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B68,B,PHYSICS MODEL PROBLEMS,238,Material degradation may alter baseline physics.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B69,B,PHYSICS MODEL PROBLEMS,240,Current simulator may not be a validated digital twin.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B70,B,PHYSICS MODEL PROBLEMS,242,Simulator parameter uncertainty may be underestimated.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B71,B,PHYSICS MODEL PROBLEMS,244,Simulator structural discrepancy may be underestimated.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B72,B,PHYSICS MODEL PROBLEMS,246,Simulator may generate overly easy synthetic examples.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B73,B,PHYSICS MODEL PROBLEMS,248,Neural surrogate may simply learn simulator artifacts.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B74,B,PHYSICS MODEL PROBLEMS,250,Simulator-to-real mismatch may dominate model performance.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
B75,B,PHYSICS MODEL PROBLEMS,252,Physics model may not be updated continuously from real measurements.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/simulation/physics.py; docs/SCIENTIFIC_MODEL.md; docs/LIMITATIONS.md
C1,C,SIGNAL ACQUISITION PROBLEMS,258,Sensor positions may be uncertain.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/inference/diagnostics.py; backend/app/services/session_manager.py
C2,C,SIGNAL ACQUISITION PROBLEMS,260,Source positions may be uncertain.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/inference/diagnostics.py; backend/app/services/session_manager.py
C3,C,SIGNAL ACQUISITION PROBLEMS,262,Receiver positions may be uncertain.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/inference/diagnostics.py; backend/app/services/session_manager.py
C4,C,SIGNAL ACQUISITION PROBLEMS,264,Sensor orientation may be uncertain.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/inference/diagnostics.py; backend/app/services/session_manager.py
C5,C,SIGNAL ACQUISITION PROBLEMS,266,Sensor timing synchronization may be imperfect.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/inference/diagnostics.py; backend/app/services/session_manager.py
C6,C,SIGNAL ACQUISITION PROBLEMS,268,Sampling-clock drift may occur.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/inference/diagnostics.py; backend/app/services/session_manager.py
C7,C,SIGNAL ACQUISITION PROBLEMS,270,ADC quantization may affect signals.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/inference/diagnostics.py; backend/app/services/session_manager.py
C8,C,SIGNAL ACQUISITION PROBLEMS,272,ADC saturation may occur.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/inference/diagnostics.py; backend/app/services/session_manager.py
C9,C,SIGNAL ACQUISITION PROBLEMS,274,Clipping may occur.,requires_physical_validation,Cannot be closed honestly without representative hardware/panels and independent ground truth.,backend/app/inference/diagnostics.py; backend/app/services/session_manager.py
